Month,Jan-19,Feb-19,Mar-19,Apr-19,May-19,Jun-19,Jul-19,Aug-19,Sep-19,Oct-19,Nov-19,Dec-19,Jan-20,Feb-20,Mar-20,Apr-20,May-20,Jun-20,Jul-20,Aug-20,Sep-20,Oct-20,Nov-20,Dec-20,Jan-21,Feb-21,March-21,Apr-21,May-21,Jun-21,July-21,Aug-21,Sep-21,October-21,November-21,December-21,January-22,February-22,March-22,April-22,May-22,June-22,July-22,August-22,September-22,October-22,November-22,December-22,January-23,February-23,March-23,April-23,May-23,June-23,July-23,August-23,September-23,October-23,November-23,December-23,January-24,February-24,March-24,April-24,May-24,June-24,July-24,August-24,September-24,October-24,November-24,December-24,January-25,February-25,March-25,April-25,May-25,June-25,July-25,August-25,September-25,October-25,November-25,December-25,January-26,February-26,March-26,April-26,May-26,June-26,July-26,August-26,September-26,October-26,November-26,December-26
Life Event,,,,Tax return/New Car,,,,Started Job,,,,,,Started Stocks,,,,Vacation,Retirement Fund,,,,,Netlist,,,3rd Stimulus,Down payment,,House,,Fed tax refund,,,,Christmas gifts,,,,,Started New Job,Opened Joint Account,Vacation,,Started using Mint for car/house price,Italy,,,,,,Taxes,9K for wedding,,,Paid Honeymoon/Income taxes,,,Wedding,Honeymoon,,Taxes,,,Paid Europe tickets + Zurich Air BNB,,,,Paid for Rest of Europe Lodging,Chicago trip. Bought EuroPass,Went To Europe,Bought a Car and PC,,,,,Built a shed,Had a kid,10K towards mortgage,Got appraisal. PMI Removed. SL Interest,,,,,,"Paid off 1 loan, opened hysa",,,,,,,,,,
Starting Personal,"$3,721.07","$2,148.37",$692.80,$772.51,"$2,454.88","$3,194.75","$2,820.61","$2,459.14","$1,921.02","$5,349.57","$7,180.80","$7,858.11","$8,859.92","$10,583.34","$17,063.84","$14,799.08","$17,595.27","$23,841.49","$23,131.69","$25,324.19","$27,575.30","$29,490.69","$30,801.64","$32,244.55","$32,847.80","$36,614.91","$36,761.74","$41,187.12","$8,190.21","$7,514.36","$6,953.56","$9,803.20","$11,867.89","$12,768.45","$12,727.65","$12,422.28","$12,450.54","$10,300.83","$9,687.00","$10,547.66","$14,639.16","$14,362.26","$12,396.74","$13,570.41","$14,419.46","$16,322.98","$19,410.41","$22,647.11","$21,420.32","$22,715.00","$23,568.09","$22,976.33","$24,214.97","$29,826.59","$30,228.45","$32,326.98","$26,263.00","$28,676.50","$28,091.00","$29,184.64","$22,270.12","$24,747.00","$27,340.37","$22,281.11","$23,532.00","$26,794.00","$24,438.27","$22,498.00","$22,952.00","$25,035.00","$19,923.00","$23,907.00","$9,628.00","$7,955.00","$8,387.00","$6,763.00","$8,585.67","$13,054.28","$11,266.19","$6,750.00","$9,095.00","$5,400.00","$6,521.00","$6,249.57","$6,888.85","$8,588.00","$7,355.00","$7,085.00","$8,892.75",,,,,,,
Starting Joint,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$4,100.28","$5,314.29","$5,342.39","$4,554.35","$3,666.65","$3,141.48","$3,437.48","$3,571.77","$2,951.00","$3,494.28","$3,061.93","$3,560.18","$4,571.62","$32,326.00","$5,408.67","$5,118.00","$3,472.28","$3,687.00","$4,452.36","$4,081.83","$4,139.00","$6,764.83","$7,395.00","$8,063.00","$8,968.77","$9,703.90","$10,087.00","$10,630.00","$11,303.00","$11,814.00","$12,675.00","$10,529.00","$10,086.00","$10,557.00","$11,046.00","$11,953.00","$12,036.72","$12,329.85","$4,871.00","$5,318.00","$5,744.00","$6,857.00","$8,020.00","$8,019.78","$7,955.00","$10,340.00","$10,665.00","$11,700.00",,,,,,,
Ending Personal,"$2,148.37",$692.80,$772.51,"$2,454.88","$3,194.75","$2,820.61","$2,459.14","$1,921.02","$5,349.57","$7,180.80","$7,585.11","$8,859.92","$10,583.34","$17,063.84","$14,799.08","$17,595.27","$23,841.49","$23,131.69","$25,324.19","$27,575.30","$29,490.69","$30,801.64","$32,244.55","$32,847.80","$36,614.91","$36,518.63","$41,187.12","$8,190.21","$7,514.36","$6,953.56","$7,711.74","$11,867.89","$12,768.45","$12,727.65","$12,422.28","$12,083.91","$10,300.83","$9,687.00","$10,547.66","$14,639.16","$14,362.26","$12,396.74","$13,570.41","$14,419.46","$16,322.98","$19,410.41","$22,647.11","$21,420.32","$22,715.00","$23,568.09","$22,976.33","$24,214.97","$29,826.62","$30,228.45","$32,326.98","$26,263.00","$28,676.50","$28,091.00","$29,184.64","$22,270.12","$24,747.00","$27,340.37","$22,281.11","$23,532.00","$26,794.00","$24,438.27","$22,498.00","$22,952.00","$25,035.00","$19,923.00","$23,907.00","$9,628.00","$7,955.00","$8,387.00","$6,763.00","$8,585.67","$13,054.28","$12,329.85","$6,750.00","$9,095.00","$5,400.00","$6,521.00","$6,249.57","$6,888.85","$8,588.00","$7,355.00","$7,085.00","$8,892.75","$8,134.00",,,,,,,
Ending Joint,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$4,100.28","$5,342.39","$4,554.35","$3,666.65","$3,141.48","$3,437.48","$3,571.77","$2,951.00","$3,494.28","$3,061.93","$3,560.18","$4,571.62","$5,262.34","$5,408.67","$5,118.00","$3,472.28","$3,687.00","$4,452.36","$4,081.83","$4,139.00","$6,764.83","$7,395.00","$8,063.00","$8,968.77","$9,703.90","$10,087.00","$10,630.00","$11,303.00","$11,814.00","$12,675.00","$10,529.00","$10,086.00","$10,557.00","$11,046.00","$11,953.00","$12,036.72","$12,329.85","$4,871.00","$5,318.00","$5,744.00","$6,857.00","$8,020.00","$8,019.78","$7,955.00","$10,340.00","$10,665.00","$11,700.00","$12,194.00",,,,,,,
Ending Total,"$2,148.37",$692.80,$772.51,"$2,454.88","$3,194.75","$2,820.61","$2,459.14","$1,921.02","$5,349.57","$7,180.80","$7,585.11","$8,859.92","$10,583.34","$17,063.84","$14,799.08","$17,595.27","$23,841.49","$23,131.69","$25,324.19","$27,575.30","$29,490.69","$30,801.64","$32,244.55","$32,847.80","$36,614.91","$36,518.63","$41,187.12","$8,190.21","$7,514.36","$6,953.56","$7,711.74","$11,867.89","$12,768.45","$12,727.65","$12,422.28","$12,083.91","$10,300.83","$9,687.00","$10,547.66","$14,639.16","$14,362.26","$16,497.02","$18,912.80","$18,973.81","$19,989.63","$22,551.89","$26,084.59","$24,992.09","$25,666.00","$27,062.37","$26,038.26","$27,775.15","$34,398.24","$35,490.79","$37,735.65","$31,381.00","$32,148.78","$31,778.00","$33,637.00","$26,351.95","$28,886.00","$34,105.20","$29,676.11","$31,595.00","$35,762.77","$34,142.17","$32,585.00","$33,582.00","$36,338.00","$31,737.00","$36,582.00","$20,157.00","$18,041.00","$18,944.00","$17,809.00","$20,538.67","$25,091.00","$24,659.70","$11,621.00","$14,413.00","$11,144.00","$13,378.00","$14,269.57","$14,908.63","$16,543.00","$17,695.00","$17,750.00","$21,086.75","$20,328.00",,,,,,,
Stocks,,,,,,,,,,,,,,$170.00,$520.00,$520.00,$520.00,$520.00,$520.00,$720.00,$800.00,$800.00,"$1,000.00","$2,300.00","$3,020.00","$4,763.86","$7,674.84","$7,674.84","$7,674.84","$17,000.00","$32,000.00","$23,607.81","$20,980.00","$20,905.00","$25,225.00","$20,629.00","$15,000.00","$16,000.00","$17,000.00","$16,215.00","$14,068.94","$11,959.98","$10,331.34","$10,206.00","$7,593.00","$7,214.00","$4,431.00","$5,804.00","$5,856.00","$8,104.93","$12,341.06","$15,429.90","$15,248.27","$11,946.48","$10,473.83","$6,830.00","$7,321.00","$3,687.00","$4,374.00","$6,320.00","$6,605.00","$5,569.00","$5,275.70","$4,299.83","$5,592.46","$4,536.39","$4,536.39","$4,391.98","$3,945.07","$3,328.95","$3,420.08","$3,132.00","$3,195.14","$2,945.69","$3,853.00","$2,996.00","$2,473.00","$2,134.74","$2,271.00","$2,903.00","$2,722.00","$2,296.00","$3,398.00","$3,813.00","$4,873.00","$4,600.00","$5,329.00","$9,037.00","$10,520.00",,,,,,,
Debts I'm owed,,,,,,,,,,,,,,,,,,,$380.00,$380.00,$380.00,$380.00,$380.00,"$1,900.00",$ -,$400.00,$450.00,$ -,$ -,$ -,$ -,$ -,$ -,$ -,$ -,,,,,,,,,,,,,,,,,,,,,,,,,,"$2,703.68",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Retirement Fund,,,,,,,,,,,,,,,,,,,$420.00,$840.00,"$1,260.00","$1,680.00","$2,100.00","$2,532.67","$3,092.26","$3,298.64","$4,308.54","$4,924.51","$5,540.48","$6,156.45","$6,772.42","$6,772.42","$7,151.19","$7,653.95","$8,081.50","$8,679.64","$8,932.19","$9,184.73","$9,437.28","$9,689.82","$9,676.39","$8,859.37","$9,478.08","$9,289.39","$8,323.92","$8,873.66","$8,873.66","$8,873.66","$9,138.66","$10,639.63","$11,354.96","$11,878.36","$12,330.35","$13,378.27","$14,276.69","$14,511.00","$14,652.00","$14,537.00","$16,654.00","$18,309.00","$18,693.00","$20,502.00","$21,544.74","$21,544.13","$22,802.31","$24,330.97","$24,330.97","$26,097.72","$27,503.68","$27,781.09","$29,006.12","$29,018.00","$30,812.11","$31,250.43","$30,984.15","$32,673.00","$34,306.00","$36,854.86","$37,607.00","$39,536.00","$41,178.00","$43,243.00","$45,849.00","$45,450.00","$47,777.00","$49,774.00","$47,107.00","$52,518.00","$55,281.00",,,,,,,
Car/House worth,,,,,"$21,000.00","$21,000.00","$21,000.00","$21,000.00","$21,000.00","$21,000.00","$21,000.00","$21,000.00","$21,000.00","$21,000.00","$21,000.00","$21,000.00","$21,000.00","$21,000.00","$21,000.00","$21,000.00","$21,000.00","$21,000.00","$21,000.00","$21,000.00","$21,000.00","$21,000.00","$21,000.00","$271,000.00","$271,000.00","$271,000.00","$271,000.00","$271,000.00","$285,000.00","$285,000.00","$285,000.00","$325,600.00","$333,700.00","$337,000.00","$340,000.00","$346,200.00","$356,000.00","$356,000.00","$347,900.00","$350,013.00","$347,713.00","$347,713.00","$345,613.00","$343,200.00","$341,113.00","$314,217.00","$330,000.00","$344,000.00","$349,500.00","$357,287.00","$355,013.00","$356,413.00","$347,166.00","$344,066.00","$340,571.00","$342,000.00","$342,000.00","$342,500.00","$342,500.00","$342,500.00","$353,735.00","$358,635.00","$358,635.00","$358,635.00","$358,635.00","$359,135.00","$359,135.00","$392,700.00","$392,700.00","$392,700.00","$392,700.00","$392,700.00","$392,700.00","$392,700.00","$392,700.00","$414,000.00","$414,000.00","$414,000.00","$414,000.00","$414,000.00","$414,000.00","$414,000.00","$414,000.00","$414,000.00","$414,000.00",,,,,,,
